"Plant_I.D." "Electricity" "Sulfur_Dioxide" "Nitrious_Oxide" "Dollars" "Employees" "Heat_Content_of_Coal" "Heat_Content_of_Oil" "Heat_Content_of_Gas" "CAA"
"1" 3 24090.4371108344 158.680500622665 73.592396014944 2022554962.6366 418.636363636364 68142.548967866 34.070889624263 474.740954267746 0.545454545454545
"2" 8 20718.3501867995 253.618727272727 66.5178530510585 1894808125.48748 488.545454545455 59971.2749082217 113.863476063053 0 0.545454545454545
"3" 470 9706.37584059776 32.4296264009963 45.0193399750934 990311729.96364 114.272727272727 29559.2363634665 36.4902612929395 28.9928420988792 0.545454545454545
"4" 602 14847.6789539228 78.2697110834371 45.128702366127 1863463413.94304 148.818181818182 43273.9383783512 242.316742080418 0 0.545454545454545
"5" 641 12402.1501867995 265.630864259029 54.3575491905355 1507909842.80748 239.545454545455 38103.8927565594 37.8759790716747 601.132921046077 0.545454545454545
"6" 708 9908.0801992528 129.59898879203 43.5722938978829 1056987288.37212 278.454545454545 30480.7393937081 60.825936693479 0 0.545454545454545
"7" 709 25355.8313823163 245.402505603985 110.480398505604 1680260249.12116 431.272727272727 72773.6245090819 47.6596638470735 0 0.545454545454545
"8" 728 13367.9526774595 221.438156911582 43.066400996264 1602566184.9134 414.090909090909 40673.5645754541 81.1057955169968 0 0.545454545454545
"9" 856 9048.75143212951 66.9264657534247 36.1229589041096 1038156781.35932 158.636363636364 26466.8135782431 39.5545766578341 0 0.545454545454545
"10" 861 9607.06351183063 287.592373599004 80.8117534246575 1238018572.6608 286.636363636364 29995.4058093325 44.2794486576508 0 0.545454545454545
"11" 862 1130.35279950187 30.2768293897883 5.99672727272727 497477561.006328 101.545454545455 3694.48723820623 23.076631176662 0 0.545454545454545
"12" 863 1424.96503113325 32.9123262764633 5.53142465753425 386362647.43328 89.9090909090909 4486.22701855293 28.9030009392762 0 0.545454545454545
"13" 864 3063.81414694894 72.6458630136986 10.825098381071 760195674.17472 146.545454545455 9364.14028915965 184.252000151589 0 0.545454545454545
"14" 876 10383.9526774595 356.540132004981 93.7814919053549 1512652598.36796 299.181818181818 34603.7289286177 0 76.8871152328767 0.545454545454545
"15" 879 11365.9686176837 52.4266525529265 61.3342366127024 3080748334.629 363.727272727273 39168.1228622316 0 138.931114540722 0.545454545454545
"16" 887 17504.8343711083 242.562881693649 57.7529290161893 2078701028.76828 345.454545454545 53063.9788821818 43.7104147922316 62.3075944221669 0.545454545454545
"17" 889 25381.5623262765 648.661509339975 162.417603985056 1954674093.6086 264.090909090909 75598.4608074635 75.5827165031133 0 0.545454545454545
"18" 983 26165.9514321295 662.883163138232 177.35202988792 1925408633.62008 390.454545454545 75353.3734395601 15.5940207257589 0 0.545454545454545
"19" 988 10810.6094645081 161.259870485679 63.8296164383562 1868523177.90208 311.909090909091 30896.7121340309 132.154417119918 0 0.545454545454545
"20" 991 1746.13250311333 30.1 6.45752179327522 658910618.34584 99.1818181818182 5851.44573693699 67.1471552751826 0 0.545454545454545
"21" 994 25527.4219178082 283.188592777086 74.2280149439601 2967696562.34464 324.363636363636 77487.8527612513 103.391064247324 0 0.545454545454545
"22" 1004 442.921448069738 12.8510709838107 3.03286674968867 372983079.532112 66.6363636363636 1742.56887656189 30.240444373599 0 0.545454545454545
"23" 1008 6053.77875466999 126.893855541719 28.0282615193026 835669815.02256 151.454545454545 18889.6368180105 148.523988745798 0 0.545454545454545
"24" 1012 5402.59580572852 122.777945205479 25.0480249066003 597635962.6692 86.4545454545455 16981.8962150331 5.31105468657534 14.8686564463263 0.545454545454545
"25" 1047 2760.82887870486 15.8444657534247 17.7471407222914 523745568.608108 51.1818181818182 9526.36738836314 34.0358286127024 0 0.545454545454545
"26" 1250 4885.11830635118 12.5295367372354 18.2684084682441 663580142.47168 134.909090909091 16201.304364925 0 301.087147006476 0.545454545454545
"27" 1355 8587.93250311332 139.834525529265 28.8910684931507 753737219.09416 149.181818181818 26697.9438505405 49.8692641996513 0 0.545454545454545
"28" 1356 25417.8772104608 255.35103860523 82.6753175591532 2219907848.38144 237.363636363636 76462.1024181071 133.574225603985 0 0.545454545454545
"29" 1357 2444.03686176837 53.1817285180573 13.0946749688667 404081772.154816 105.272727272727 8313.88704580722 10.4124741758406 0 0.545454545454545
"30" 1364 19582.0777085928 350.527212951432 71.0727745952677 1925165763.02624 418.545454545455 58578.8166508752 166.13480123905 89.5803309526775 0.545454545454545
"31" 1570 1173.97882938979 9.38056288916563 3.77387795765878 344416530.303328 66.3636363636364 3689.92404706401 24.4232056064757 0 0.545454545454545
"32" 1606 2853.7167618929 27.5108343711083 10.8947148194271 214166878.014572 68.0909090909091 8187.49454617435 7.25424420462366 0 0.545454545454545
"33" 1695 5271.56164383562 30.4021120797011 17.7349115815691 818674418.68044 166.272727272727 15429.9051024538 31.7898686017435 17.8615763387298 0.545454545454545
"34" 1745 9132.1098381071 53.3374694894147 30.0500124533001 1995126392.72912 326.272727272727 27852.8180765201 123.583880623898 0 0.545454545454545
"35" 1943 800.835691158157 4.39888667496887 4.49375591531756 246510179.717284 42.2727272727273 2770.83057047821 10.2981221305106 0 0.545454545454545
"36" 2080 5773.99919302615 66.5830211706102 24.297195516812 620079038.13772 157.363636363636 17542.1224327786 33.9590815287243 0 0.545454545454545
"37" 2103 31500.6801992528 554.790186799502 102.004383561644 3067847568.17 466.454545454545 93109.4331036688 284.596182049315 0 0.545454545454545
"38" 2107 10004.4266500623 197.3020249066 76.3812702366127 1159944000.47036 248.545454545455 30886.3178499034 34.5665079437111 0 0.545454545454545
"39" 2526 2038.87455666252 31.9983686176837 7.65414694894147 477617315.337848 75.2727272727273 6549.54825810262 31.6594070204189 0 0.545454545454545
"40" 2527 2490.25133723537 39.9232478206725 9.41239601494396 488110740.44068 83.1818181818182 7780.92163740971 38.9341122702366 0 0.545454545454545
"41" 2535 5536.88881195517 68.6308468244085 15.7684757160648 519893567.314408 89.5454545454545 15320.5098306919 14.4464590159935 0 0.545454545454545
"42" 2549 11232.0418430884 136.050929016189 49.7100249066003 2118987679.0334 291.454545454545 34428.6460492618 0 0 0.545454545454545
"43" 2554 9724.7103362391 146.32302615193 26.6489464508095 1207175218.89412 204.727272727273 28319.0090146371 27.2924599882237 0 0.545454545454545
"44" 2642 3439.37085927771 56.1916911581569 10.3253100871731 518156263.077152 132.727272727273 10617.3549967173 40.7841321564134 0 0.545454545454545
"45" 2706 6237.74171855542 49.3116537982565 25.7976288916563 408555571.145008 83.1818181818182 18021.4647174351 33.920658015198 0 0.545454545454545
"46" 2718 6770.50510585305 49.2246176836862 19.2299302615193 1206866834.09264 152.454545454545 19805.4768307293 140.440396981916 0 0.545454545454545
