"Plant_I.D." "Electricity" "Sulfur_Dioxide" "Nitrious_Oxide" "Dollars" "Employees" "Heat_Content_of_Coal" "Heat_Content_of_Oil" "Heat_Content_of_Gas" "CAA"
"82" 6139 21219.7066002491 83.2662141967621 119.930515566625 1203092307.41784 131.181818181818 65148.2580772139 125.499070445828 0 0.545454545454545
"83" 6146 42208.1676214197 166.115095890411 124.363922789539 2504548645.3386 575.181818181818 137029.49998397 264.166100813948 0 0.545454545454545
"84" 6147 31474.7158156912 181.613823163138 111.685544209215 1843206863.16956 427.272727272727 102516.191989898 337.569077257285 0 0.545454545454545
"85" 6155 15598.8727272727 138.039103362391 54.278102117061 1384110876.11216 237.545454545455 45291.8854328937 52.5847727163138 0 0.545454545454545
"86" 6178 11311.5354919054 38.6231681195517 35.3478306351183 731971943.75116 107.181818181818 32138.1526539721 26.1508810671034 0 0.545454545454545
"87" 6193 19687.599750934 67.9814769613948 76.8735541718555 1093413991.69464 148.636363636364 57303.3105354605 0 174.221946996762 0.545454545454545
"88" 6248 8430.14894146949 35.9017708592777 54.31999501868 1117842551.46648 117.363636363636 26594.1034633255 77.3631686516862 50.0053552505604 0.545454545454545
"89" 6264 18923.0938978829 92.1756612702366 55.0919850560399 1754944335.22744 241.454545454545 51897.7532047248 172.914145078304 0 0.545454545454545
"90" 8042 33454.1459526775 214.028871731009 134.376381070984 1545490631.85412 178.545454545455 89227.4065402894 105.58355624631 0 0.545454545454545
"91" 8102 36412.9594022416 920.709270236613 174.138201743462 2729538594.42712 384.090909090909 104838.441808042 165.574215629162 0 0.545454545454545
"92" 8226 9131.24483188045 109.975183063512 24.8747671232877 983408634.852 153.818181818182 26443.4408260289 12.7695776302356 151.350837190535 0.545454545454545
