"Year" "Electricity" "Sulfur_Dioxide" "Nitrious_Oxide" "Dollars" "Employees" "Heat_Content_of_Coal" "Heat_Content_of_Oil" "Heat_Content_of_Gas" "CAA"
"1" 85 23301.4739726027 130.355808219178 70.9840547945205 1894164858.894 430 66634.8614844164 48.4415298618904 816.387273920548 0
"2" 85 19321.2054794521 203.142821917808 63.2537808219178 1785346116.708 511 56989.3507978356 146.236088512701 0 0
"3" 85 9624.64383561644 37.218301369863 44.3494794520548 922243211.3048 114 28964.9975875233 45.2491641189863 8.54086273150685 0
"4" 85 7122.04657534247 38.0283287671233 21.5857808219178 1220094398.138 120 20821.104353589 226.773621197507 0 0
"5" 85 12122.8493150685 273.070082191781 53.4544657534247 1412740877.702 221 36217.1509147069 59.1368689972603 380.027482191781 0
"6" 85 13340.3479452055 170.140273972603 61.863397260274 993611221.4336 309 41111.6473049096 55.3126668164384 0 0
"7" 85 30803.5424657534 266.093150684932 124.100904109589 1641321529.2936 469 82802.0444282301 40.3126215780822 0 0
"8" 85 18348.0301369863 346.423616438356 60.288 1577182774.3364 454 54007.7242246685 70.7814634684932 0 0
"9" 85 8192.46575342466 53.2385205479452 34.2950136986301 1021833396.9844 151 23887.2025330027 27.2811670339562 0 0
"10" 85 10454.5342465753 375.504383561644 88.7657260273973 1215298090.5604 302 33024.0087370356 37.7076991536 0 0
"11" 85 1264.87726027397 31.5998082191781 6.68016438356164 483356346.7656 104 4123.49008241096 16.2449174729589 0 0
"12" 85 2305.94821917808 55.4878356164384 12.0955342465753 368624647.9608 93 7102.61134869041 15.206444242126 0 0
"13" 85 3730.42849315068 87.1219452054794 13.1970684931507 728530500.9136 147 11313.3773559288 103.368370424795 0 0
"14" 85 13469.0849315068 464.493315068493 122.241671232877 1464758763.2216 341 44670.4090012274 0 68.3047409424658 0
"15" 85 16867.4849315068 97.0828767123288 84.4634246575342 3099482717.7468 431 54997.6095006411 0 71.1397315068493 0
"16" 85 17123.8657534247 289.329424657534 57.6233150684931 2009746875.0744 359 52355.5792753973 23.1957118170247 0 0
"17" 85 29350.0460273973 725.33098630137 183.321835616438 1909750057.8156 264 85643.4166922302 78.8446622465754 0 0
"18" 85 26784.9726027397 712.602219178082 181.718493150685 1885938894.3472 392 76964.7734835288 11.0072274410959 0 0
"19" 85 9570.52876712329 177.191753424658 57.9438356164384 1813034597.9592 328 28053.8835858575 175.761229265655 0 0
"20" 85 1916.58904109589 41.6132328767123 7.2881095890411 614181842.7052 96 6463.14738263014 99.702414 0 0
"21" 85 18392.3424657534 229.153369863014 56.7236164383562 1950887725.8332 280 55650.0724460384 113.360278931507 0 0
"22" 85 661.808219178082 21.0516438356164 4.3347397260274 360433124.3744 71 2499.23576196164 23.5623462410959 0 0
"23" 85 6107.77534246575 166.881506849315 30.1081095890411 792088109.4588 161 18590.1797168548 74.8450998246575 0 0
"24" 85 5817.04139726027 166.630082191781 31.5608493150685 550984769.874 87 17891.3580756329 4.66390795068493 12.7878083506849 0
"25" 85 3077.86871232877 16.3694520547945 21.7485479452055 519884632.2516 52 9947.39269928219 39.186269260274 0 0
"26" 85 3797.87945205479 11.6082739726027 15.8404109589041 630828349.1664 137 13269.9470413973 0 366.190162068493 0
"27" 85 8674.73150684932 148.238246575342 30.9098356164384 708036095.1048 132 27426.4643953315 44.8058905249315 0 0
"28" 85 17790.2383561644 250.794931506849 64.7006301369863 2164535560.9724 228 55946.7559589918 220.762356440548 0 0
"29" 85 2851.09589041096 57.7382465753425 15.9271232876712 398713780.4804 103 9856.57440123288 9.3345605260274 0 0
"30" 85 16962.1534246575 130.929753424658 68.9537534246575 1838223813.3336 472 50736.0047609425 147.774726246575 136.371894452055 0
"31" 85 1115.60273972603 8.95608219178082 4.012 323759544.0156 65 3602.76089761644 28.0542662630137 0 0
"32" 85 2842.11506849315 26.8045753424658 11.4767397260274 209323396.8364 69 8483.12103629589 12.0626802645041 0 0
"33" 85 3258.47671232877 22.6825205479452 10.8117808219178 830015104.8112 196 9994.57166993425 39.8438701643836 0 0
"34" 85 9846.39452054794 59.9139726027397 29.7809315068493 1973441725.332 327 29752.582022137 231.207641989052 0 0
"35" 85 989.940547945205 11.6388493150685 5.18419178082192 242040539.4792 38 3559.03244482192 4.21876272328767 0 0
"36" 85 5562.74345205479 241.63602739726 23.1507945205479 573750895.256 157 17548.443854137 46.7551207740822 0 0
"37" 85 33940.7780821918 718.440082191781 113.697917808219 2951667022.458 504 99784.615879463 274.894039479452 0 0
"38" 85 6353.97260273973 150.523534246575 53.5938082191781 1109681580.3304 275 19982.680062411 54.5168011068493 0 0
"39" 85 2364.82657534247 40.87 9.55624657534247 439725686.8928 79 7836.33080199452 26.6277781479452 0 0
"40" 85 3106.33987671233 54.6552876712329 12.8321917808219 435318765.6048 97 10073.3180533644 45.441908630137 0 0
"41" 85 4747.64136986301 66.3059452054794 14.4161917808219 489722212.7644 85 13164.1314280767 13.0708397798137 0 0
"42" 85 11160.6136986301 133.916164383562 52.4561643835616 1954016665.3084 304 34673.5727432712 0 0 0
